State,State_Code,County,County_Code,Payam,Payam_Code,Facility_Name,Type,Facilities_Code,Latitude,Longitude,COUNT
Upper Nile,SS07,Renk,SS0711,Chemmedi,SS071104,Chemmedi PHCC,PHCC,"71010101","11.51626","32.97081","1"
Upper Nile,SS07,Renk,SS0711,Geger,SS071101,Alaka PHCU,PHCU,"71010201","12.16765","32.78522","1"
Upper Nile,SS07,Renk,SS0711,Geger,SS071101,Gerger PHCC,PHCC,"71010202","11.99025","32.75877","1"
Upper Nile,SS07,Renk,SS0711,Geger,SS071101,Jerbana PHCC,PHCC,"71010203","12.03827","33.02885","1"
Upper Nile,SS07,Renk,SS0711,Geger,SS071101,Romale PHCU,PHCU,"71010204","12.07605","32.78196","1"
Upper Nile,SS07,Renk,SS0711,Jalhak,SS071102,Jalhak PHCC,PHCC,"71010301","11.04231","32.69402","1"
Upper Nile,SS07,Renk,SS0711,Jalhak,SS071102,Molbuk PHCU,PHCU,"71010302","11.15651","32.67956","1"
Upper Nile,SS07,Renk,SS0711,North Renk,SS071103,Abukadhra PHCU,PHCU,"71010401","11.83103","32.79989","1"
Upper Nile,SS07,Renk,SS0711,North Renk,SS071103,ECS PHCC,PHCC,"71010402","11.74833","32.806944","1"
Upper Nile,SS07,Renk,SS0711,North Renk,SS071103,Renk Hospital,Hospital,"71010403","11.74912","32.79989","1"
Upper Nile,SS07,Manyo,SS0708,Adhidwoi,SS070801,Athidwoi PHCU,PHCU,"71020101","10.25053","32.24206","1"
Upper Nile,SS07,Manyo,SS0708,Adhidwoi,SS070801,Ogon PHCU,PHCU,"71020102","10.13134","32.27005","1"
Upper Nile,SS07,Manyo,SS0708,Adhidwoi,SS070801,Nyiliech PHCU,PHCU,"71020103","10.212333","32.256778","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Kaka PHCC,PHCC,"71020201","10.5792","32.15722","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Akurwa PHCU,PHCU,"71020202","0","0","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Aweth PHCC,PHCC,"71020203","10.34108","32.22313","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Delal Ajak PHCU,PHCU,"71020204","10.3894","32.24508","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Noon PHCU,PHCU,"71020205","10.41147","32.19312","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Morro PHCU,PHCU,"71020206","0","0","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Nyanwar PHCU ,PHCU,"71020207","0","0","1"
Upper Nile,SS07,Manyo,SS0708,Kaka,SS070802,Akok PHCU ,PHCU,"71020208","0","0","1"
Upper Nile,SS07,Manyo,SS0708,Magenist,SS070803,Kitgwang PHCC,PHCC,"71020301","0","0","1"
Upper Nile,SS07,Manyo,SS0708,Magenist,SS070803,Pen PHCU,PHCU,"71020302","0","0","1"
Upper Nile,SS07,Manyo,SS0708,Magenist,SS070803,Thorgwang PHCU,PHCU,"71020303","11.00102","32.64202","1"
Upper Nile,SS07,Manyo,SS0708,Magenist,SS070803,Manam PHCU,PHCU,"71020304","10.95363","32.53772","1"
Upper Nile,SS07,Manyo,SS0708,Magenist,SS070803,Omar PHCU,PHCU,"71020305","11.72764","32.77517","1"
Upper Nile,SS07,Manyo,SS0708,Wedakona,SS070804,Wadakona PHCC,PHCC,"71020401","11.60823","32.72822","1"
Upper Nile,SS07,Manyo,SS0708,Wedakona,SS070804,Ayat PHCU,PHCU,"71020402","11.29254","32.62056","1"
Upper Nile,SS07,Fashoda,SS0702,Dethok,SS070201,Aburoc PHCC,PHCC,"71030101","10.10539","32.08468","1"
Upper Nile,SS07,Fashoda,SS0702,Dethok,SS070201,Dethwok PHCU,PHCU,"71030102","10.00799","32.18204","1"
Upper Nile,SS07,Fashoda,SS0702,Dethok,SS070201,Mallo PHCU,PHCU,"71030103","10.04908","32.2088","1"
Upper Nile,SS07,Fashoda,SS0702,Dethok,SS070201,Abienyai PHCU,PHCU,"71030104","10.10801","32.26034","1"
Upper Nile,SS07,Fashoda,SS0702,Dethok,SS070201,Aburoc 1 PHCC,PHCC,"71030105","0","0","1"
Upper Nile,SS07,Fashoda,SS0702,Kodok,SS070202,Otego PHCU,PHCU,"71030201","9.894","31.99256","1"
Upper Nile,SS07,Fashoda,SS0702,Kodok,SS070202,Gollo PHCU,PHCU,"71030202","9.9601","32.15322","1"
Upper Nile,SS07,Fashoda,SS0702,Kodok,SS070202,Adod PHCC,PHCC,"71030203","0","0","1"
Upper Nile,SS07,Fashoda,SS0702,Kodok Town,SS070203,Kodok Hospital,Hospital,"71030301","9.8907","32.1163","1"
Upper Nile,SS07,Fashoda,SS0702,Kodok Town,SS070203,Abudhok PHCC,PHCC,"71030302","0","0","1"
Upper Nile,SS07,Fashoda,SS0702,Lul,SS070204,Achake PHCC,PHCC,"71030401","9.79988","31.98269","1"
Upper Nile,SS07,Fashoda,SS0702,Lul,SS070204,Boal PHCU,PHCU,"71030402","9.721505","31.841594","1"
Upper Nile,SS07,Fashoda,SS0702,Lul,SS070204,Lul West PHCU,PHCU,"71030403","9.72843","31.85898","1"
Upper Nile,SS07,Fashoda,SS0702,Lul,SS070204,Oriny PHCC,PHCC,"71030404","9.86790869","31.8898511","1"
Upper Nile,SS07,Melut,SS0709,Bimachuk,SS070901,Pariak PHCU,PHCU,"71040101","12.16946","32.78554","1"
Upper Nile,SS07,Melut,SS0709,Galdora,SS070902,Galdora PHCC,PHCC,"71040201","10.27168","32.46344","1"
Upper Nile,SS07,Melut,SS0709,Melut,SS070903,Melut Civil Hospital,Hospital,"71040301","10.44445","32.20068","1"
Upper Nile,SS07,Melut,SS0709,Paloch,SS070905,Paloch PHCC,PHCC,"71040401","10.46559","32.54816","1"
